_key,window_idx,bucket_low_pct,bucket_high_pct,percentile_rank,pathwise_loss,endpoint_return,start_unix,end_unix,start_iso,end_iso,start_block,end_block,num_blocks
198,198,60,70,64.9453328516286,0.003302184110231643,-0.0021456317795367497,1695051300,1695054900,2023-09-18T15:35:00Z,2023-09-18T16:35:00Z,18163745,18164044,300
199,199,60,70,65.41057405259455,0.003346110421840409,0.0009026753059038217,1750542780,1750546380,2025-06-21T21:53:00Z,2025-06-21T22:53:00Z,22755640,22755936,297
200,200,60,70,65.66646384362343,0.0033707636892087445,-0.0014627955169621565,1669254840,1669258440,2022-11-24T01:54:00Z,2022-11-24T02:54:00Z,16036684,16036983,300
201,201,60,70,66.22178699777528,0.003424997266885721,-0.003043879645788339,1667901240,1667904840,2022-11-08T09:54:00Z,2022-11-08T10:54:00Z,15924545,15924842,298
202,202,60,70,66.79355783308931,0.003480280890906462,-0.0020569111457890976,1741523460,1741527060,2025-03-09T12:31:00Z,2025-03-09T13:31:00Z,22009325,22009623,299
203,203,60,70,67.13677245156016,0.0035147029671387386,0.00036778290276195946,1677769800,1677773400,2023-03-02T15:10:00Z,2023-03-02T16:10:00Z,16741675,16741971,297
204,204,60,70,67.19091669677321,0.003520321398815307,-0.0031585194654005777,1745224320,1745227920,2025-04-21T08:32:00Z,2025-04-21T09:32:00Z,22316200,22316499,300
205,205,60,70,67.53218231256298,0.0035545465039122925,-0.0026840742238373183,1773142080,1773145680,2026-03-10T11:28:00Z,2026-03-10T12:28:00Z,24626770,24627068,299
206,206,60,70,67.58732482744195,0.0035602472068825275,0.003128906679289445,1697125320,1697128920,2023-10-12T15:42:00Z,2023-10-12T16:42:00Z,18335301,18335596,296
207,207,60,70,67.81687931395106,0.0035838004868541384,-0.0022008313361823184,1703636760,1703640360,2023-12-27T00:26:00Z,2023-12-27T01:26:00Z,18873427,18873722,296
208,208,60,70,68.91407275009031,0.0036990142606578846,-0.0023327264851811247,1648050960,1648054560,2022-03-23T15:56:00Z,2022-03-23T16:56:00Z,14443488,14443767,280
209,209,60,70,68.97373124679127,0.0037060453997262988,0.002705742188909177,1647907680,1647911280,2022-03-22T00:08:00Z,2022-03-22T01:08:00Z,14432809,14433084,276
210,210,70,80,70.73215949497063,0.003903570319626959,-0.0034991924477617564,1672618140,1672621740,2023-01-02T00:09:00Z,2023-01-02T01:09:00Z,16315407,16315706,300
211,211,70,80,70.8316061683558,0.0039154593388963654,0.0006196346134519359,1704236880,1704240480,2024-01-02T23:08:00Z,2024-01-03T00:08:00Z,18922865,18923163,299
212,212,70,80,71.55040786446351,0.004001136482751466,-0.002053392621689243,1750106700,1750110300,2025-06-16T20:45:00Z,2025-06-16T21:45:00Z,22719547,22719844,298
213,213,70,80,72.02354014945523,0.0040579493934550515,0.0058097448425162845,1667993820,1667997420,2022-11-09T11:37:00Z,2022-11-09T12:37:00Z,15932217,15932514,298
214,214,70,80,72.06413644920234,0.004062798640441789,-0.0019015052251445397,1664809320,1664812920,2022-10-03T15:02:00Z,2022-10-03T16:02:00Z,15668391,15668688,298
215,215,70,80,72.50166378277652,0.004116667118686412,0.0017899982001394754,1678772100,1678775700,2023-03-14T05:35:00Z,2023-03-14T06:35:00Z,16824146,16824438,293
